#  time, acc(x, y, z), gyro(x, y, z)
7.913027, -9.030929, -0.239420, 0.957681, 0.010653, 0.035154, 0.013848
7.921430, -8.954314, -0.239420, 0.948104, 0.013848, 0.013848, 0.014914
7.925562, -8.925584, -0.210690, 0.900220, 0.020240, 0.013848, 0.012783
7.929215, -8.877700, -0.191536, 0.909797, 0.026632, 0.009587, 0.009587
7.933009, -8.848969, -0.220267, 0.900220, 0.020240, 0.009587, -0.001065
7.941383, -8.858546, -0.172383, 0.900220, 0.010653, 0.017044, 0.003196
7.945314, -8.848969, -0.201113, 0.871489, 0.006392, 0.024501, -0.005326
7.948976, -8.877700, -0.181959, 0.871489, 0.007457, 0.019175, -0.009587
7.952985, -8.916007, -0.153229, 0.881066, -0.003196, 0.008522, -0.013848
7.961373, -8.916007, -0.191536, 0.919373, -0.006392, 0.003196, -0.029827
7.965292, -8.916007, -0.172383, 0.881066, -0.015979, -0.003196, -0.033023
7.968963, -8.944737, -0.181959, 0.938527, -0.019175, -0.005326, -0.030893
7.973154, -8.916007, -0.191536, 0.967257, -0.027697, -0.004261, -0.044741
7.981371, -8.963891, -0.258574, 1.082179, -0.034088, 0.007457, -0.043676
7.985454, -8.935161, -0.277727, 1.053449, -0.026632, 0.008522, -0.037284
7.989115, -8.954314, -0.287304, 1.072602, -0.031958, 0.011718, -0.044741
7.992915, -8.992621, -0.316035, 1.082179, -0.018109, 0.005326, -0.039415
8.001359, -9.050082, -0.306458, 1.082179, -0.012783, -0.003196, -0.037284
8.005297, -9.030929, -0.287304, 1.053449, -0.007457, -0.009587, -0.044741
8.008909, -9.021352, -0.306458, 1.063026, -0.007457, -0.011718, -0.039415
8.013103, -9.040505, -0.325611, 1.034295, -0.004261, -0.014914, -0.041545
8.021270, -9.030929, -0.373495, 1.130063, -0.000000, -0.011718, -0.041545
8.025402, -9.050082, -0.383072, 1.139640, -0.010653, -0.010653, -0.046872
8.029058, -9.030929, -0.383072, 1.158794, -0.021305, -0.003196, -0.051133
8.033068, -8.992621, -0.430956, 1.225831, -0.030893, 0.011718, -0.059655
8.041265, -9.040505, -0.459687, 1.273715, -0.035154, 0.024501, -0.059655
8.045385, -9.088389, -0.488417, 1.273715, -0.050067, 0.043676, -0.060720
8.049059, -9.069236, -0.555455, 1.264138, -0.039415, 0.056459, -0.053263
8.052859, -9.040505, -0.574608, 1.331176, -0.042611, 0.069242, -0.050067
8.061221, -9.212888, -0.574608, 1.187524, -0.026632, 0.072438, -0.038350
8.065019, -9.193734, -0.574608, 1.158794, -0.020240, 0.064981, -0.017044
8.069028, -9.126697, -0.603339, 1.120486, 0.004261, 0.061785, 0.003196
8.073008, -8.992621, -0.622492, 1.034295, 0.018109, 0.061785, 0.013848
8.081211, -8.944737, -0.536301, 1.024718, 0.027697, 0.047937, 0.023436
8.085132, -8.963891, -0.497994, 0.948104, 0.034088, 0.040480, 0.030893
8.088822, -8.973468, -0.507571, 0.871489, 0.036219, 0.036219, 0.042611
8.092795, -8.896853, -0.440533, 0.785298, 0.036219, 0.030893, 0.050067
8.101246, -8.839393, -0.354342, 0.766145, 0.044741, 0.018109, 0.059655
8.104995, -8.762778, -0.296881, 0.727837, 0.043676, 0.009587, 0.054328
8.108880, -8.734048, -0.248997, 0.660800, 0.030893, 0.002131, 0.038350
8.112957, -8.762778, -0.201113, 0.679953, 0.021305, -0.001065, 0.026632
8.121159, -8.734048, -0.153229, 0.689530, 0.004261, -0.003196, 0.023436
8.125280, -8.743625, -0.162806, 0.718261, -0.007457, -0.023436, 0.004261
8.128945, -8.734048, -0.153229, 0.766145, -0.011718, -0.025566, -0.001065
8.132742, -8.734048, -0.162806, 0.756568, -0.028762, -0.020240, -0.017044
8.141117, -8.714894, -0.172383, 0.852336, -0.033023, -0.020240, -0.036219
8.145042, -8.734048, -0.248997, 0.881066, -0.044741, -0.022371, -0.059655
8.148720, -8.810662, -0.277727, 0.909797, -0.054328, -0.020240, -0.068177
8.152715, -8.858546, -0.344765, 0.957681, -0.059655, -0.015979, -0.084156
8.161106, -8.983045, -0.555455, 1.072602, -0.069242, -0.014914, -0.089482
